geo_id,zipcode,population
8600000US25647,25647,768
8600000US49336,49336,4352
8600000US72106,72106,5376
8600000US74074,74074,29184
8600000US01960,1960,50944
8600000US13776,13776,513
8600000US62379,62379,2049
8600000US79322,79322,2049
8600000US50833,50833,2305
8600000US31778,31778,2562
8600000US16150,16150,7426
8600000US34436,34436,7938
8600000US12483,12483,259
8600000US40052,40052,515
8600000US29686,29686,1027
8600000US94619,94619,23299
8600000US08353,8353,516
8600000US12965,12965,516
8600000US44048,44048,2565
8600000US39638,39638,3333
8600000US78956,78956,5381
8600000US97914,97914,19205
8600000US10952,10952,38917
8600000US59639,59639,1286
8600000US07606,7606,2310
8600000US36009,36009,2566
8600000US93536,93536,70918
8600000US03220,3220,7430
8600000US74468,74468,263
8600000US04740,4740,1287
8600000US30808,30808,4615
8600000US08648,8648,32263
8600000US01436,1436,3336
8600000US55374,55374,13576
8600000US89169,89169,23304
8600000US51004,51004,1033
8600000US08535,8535,5385
8600000US97038,97038,15113
8600000US29710,29710,29449
8600000US61701,61701,36105
8600000US05488,5488,7690
8600000US78717,78717,22538
8600000US48906,48906,26634
8600000US21856,21856,1035
8600000US04981,4981,2316
8600000US29667,29667,269
8600000US74735,74735,1549
8600000US38117,38117,26125
8600000US12071,12071,270
8600000US30822,30822,526
8600000US36875,36875,4622
8600000US48201,48201,12814
8600000US40175,40175,13070
8600000US42332,42332,271
8600000US24272,24272,527
8600000US46371,46371,3599
8600000US84310,84310,4111
8600000US31648,31648,1040
8600000US16929,16929,2320
8600000US37144,37144,3344
8600000US14586,14586,10256
8600000US02188,2188,14608
8600000US44106,44106,26896
8600000US20901,20901,34832
8600000US52362,52362,1041
8600000US52659,52659,1553
8600000US12143,12143,5137
8600000US78069,78069,5137
8600000US60477,60477,38161
8600000US65025,65025,786
8600000US72079,72079,786
8600000US08348,8348,275
8600000US80812,80812,275
8600000US19312,19312,11539
8600000US10456,10456,86547
8600000US42453,42453,532
8600000US80480,80480,1300
8600000US70080,70080,1556
8600000US02667,2667,2580
8600000US45107,45107,9236
8600000US05744,5744,533
8600000US01029,1029,789
8600000US47648,47648,4373
8600000US83702,83702,22293
8600000US10305,10305,41749
8600000US23126,23126,534
8600000US55089,55089,1814
8600000US39553,39553,17174
8600000US90230,90230,31766
8600000US61817,61817,2583
8600000US66508,66508,4375
8600000US98359,98359,4887
8600000US46550,46550,12311
8600000US14846,14846,792
8600000US54135,54135,3096
8600000US55040,55040,12568
8600000US70072,70072,56344
8600000US39556,39556,7705
8600000US93610,93610,23833
8600000US32404,32404,38425
8600000US68517,68517,538
8600000US52159,52159,2330
8600000US39422,39422,5146
8600000US58243,58243,539
8600000US20692,20692,1051
8600000US55114,55114,3100
8600000US84081,84081,40732
8600000US48066,48066,47388
8600000US60505,60505,76573
8600000US66008,66008,286
8600000US27927,27927,542
8600000US04623,4623,1054
8600000US48892,48892,4382
8600000US01077,1077,9502
8600000US99201,99201,13342
8600000US25906,25906,287
8600000US62294,62294,14367
8600000US39082,39082,1312
8600000US17223,17223,289
8600000US81049,81049,289
8600000US41035,41035,10785
8600000US44001,44001,20769
8600000US47933,47933,27937
8600000US92545,92545,39457
8600000US55370,55370,802
8600000US73456,73456,2082
8600000US31642,31642,4898
8600000US38107,38107,17698
8600000US71826,71826,1315
8600000US54840,54840,4643
8600000US21030,21030,24355
8600000US77511,77511,46627
8600000US62440,62440,1316
8600000US51579,51579,2340
8600000US08640,8640,7716
8600000US34653,34653,30756
8600000US93245,93245,37412
8600000US44405,44405,8229
8600000US49646,49646,8229
8600000US14623,14623,27173
8600000US29849,29849,294
8600000US84630,84630,294
8600000US62217,62217,807
8600000US79505,79505,296
8600000US49884,49884,552
8600000US68319,68319,552
8600000US82637,82637,4136
8600000US24084,24084,11304
8600000US92530,92530,50216
8600000US29373,29373,297
